Username,Latitude,Longitude,Timestamp
AllanAnttonio,51.508039,-0.127069,2018-03-14 13:25:45
B2UTYlicious,51.5105,-0.13117,2018-03-14 13:30:22
HarveyEnviroMD,51.5109028,-0.1396402999999999,2018-03-14 13:25:37
NicoleRaquel_D,51.51043853,-0.12107491,2018-03-14 13:29:59
SueHall94,51.5057,-0.1283,2018-03-14 13:26:01
ThoMas_LFC,51.51002891,-0.13418269,2018-03-14 12:45:23
ZainbFasih,51.50865,-0.12514,2018-03-14 13:28:59
kelsey_miller,51.5133913,-0.1310996,2018-03-14 13:29:37
agaveloveASIA,51.5130864,-0.1248442,2018-03-14 13:29:21
ashabardon,51.51165782,-0.131056,2018-03-14 13:55:11
itspottsy,51.51193486,-0.12334558,2018-03-14 13:27:03
johnjonesuk,51.51378208,-0.12702405,2018-03-14 13:27:49
londonmums,51.50658951,-0.12435566,2018-03-14 13:32:40
mattw1971,51.5118481,-0.1266546,2018-03-14 13:25:50
milbourn_mark,51.51291081,-0.13991274,2018-03-14 13:25:24
rogeriopr,51.50711486,-0.12731805,2018-03-14 13:26:48
sohocub,51.51462684,-0.130956,2018-03-14 13:34:07
ssbot,51.510461,-0.131882,2018-03-14 13:29:06
xtopherstox,51.50861944,-0.12815068,2018-03-14 13:25:42
shadiactivewear,51.50875556,-0.13743056,2018-03-14 13:25:23
